100, 1192
101, 781
102, 525
103, 3613
104, 578
105, 1386
106, 1682
107, 1284
108, 1018
109, 590
110, 1522
111, 811
112, 1753
113, 722
114, 711
115, 460
116, 895
117, 971
118, 2293
119, 800
120, 1414
121, 1072
122, 1270
123, 689
124, 396
125, 1013
126, 692
127, 318
128, 1946
129, 1172
130, 1325
131, 760
132, 698
133, 299
134, 833
135, 664
136, 1044
137, 438
139, 868
140, 1450
141, 853
142, 904
144, 723
145, 920
147, 698
148, 956
149, 343
150, 1512
151, 295
152, 1042
153, 398
154, 562
155, 491
156, 782
157, 676
158, 721
159, 479
160, 393
161, 736
162, 352
163, 2311
164, 544
165, 759
166, 1890
167, 559
168, 698
169, 619
170, 846
171, 833
172, 755
173, 244
174, 1040
175, 989
176, 882
177, 970
178, 564
179, 2536
180, 438
181, 599
182, 1180
183, 478
184, 675
185, 534
186, 17
187, 1251
188, 626
189, 1220
190, 943
191, 1274
192, 1039
193, 746
194, 2184
195, 686
196, 598
197, 669
198, 1344
199, 1409
200, 585
201, 589
202, 516
203, 1378
204, 1209
205, 1513
206, 1655
207, 714
208, 607
209, 1285
210, 452
211, 1368
212, 406
213, 966
214, 535
215, 942
216, 1095
217, 767
218, 545
219, 981
220, 982
221, 585
222, 1038
223, 995
224, 878
225, 729
226, 500
227, 854
228, 401
229, 482
230, 874
231, 2843
232, 2730
233, 1145
234, 540
235, 804
236, 689
237, 1286
238, 2631
239, 802
240, 1218
241, 2437
242, 1554
243, 644
244, 755
245, 154
246, 452
247, 1578
248, 1165
249, 402
250, 521
251, 230
252, 836
253, 897
254, 1497
255, 3783
256, 1521
257, 1167
258, 587
259, 792
260, 927
261, 1152
262, 1220
263, 1080
264, 2662
266, 398
267, 790
268, 933
269, 456
270, 1336
271, 650
272, 1633
273, 1343
274, 1084
275, 626
276, 522
277, 875
278, 521
279, 918
280, 855
281, 764
282, 1610
283, 340
284, 507
285, 3692
286, 2036
287, 1478
288, 1002
289, 869
290, 839
291, 2018
292, 677
293, 764
294, 1726
295, 650
296, 1258
297, 897
298, 954
299, 1058
300, 738
301, 1696
302, 664
303, 1221
304, 338
305, 894
306, 1494
307, 842
308, 913
309, 318
310, 1038
311, 590
312, 472
313, 509
314, 912
315, 1316
317, 484
318, 1382
319, 1031
321, 646
322, 453
323, 1492
324, 901
325, 1004
326, 585
327, 672
328, 1297
329, 747
330, 619
331, 336
332, 3680
333, 1103
334, 1382
335, 1112
336, 674
337, 1852
338, 660
339, 464
340, 851
341, 333
342, 5987
343, 559
344, 1108
345, 999
346, 583
347, 930
348, 985
349, 1180
350, 556
351, 3833
352, 873
353, 940
354, 2008
355, 623
356, 1169
357, 1419
358, 959
359, 4290
360, 827
362, 2063
363, 1286
364, 689
365, 365
366, 1161
367, 665
368, 473
369, 442
370, 1471
371, 658
372, 808
373, 1405
374, 619
375, 1182
376, 786
377, 499
378, 1571
379, 453
380, 376
381, 496
382, 725
383, 730
384, 1522
385, 445
386, 716
387, 1152
388, 490
389, 424
390, 593
391, 634
392, 1047
393, 620
394, 776
395, 442
396, 1819
397, 636
398, 888
399, 1071
400, 2174
402, 674
403, 491
404, 2221
405, 1201
406, 696
407, 1069
408, 1171
409, 441
410, 1314
411, 696
413, 935
414, 1801
415, 904
416, 481
417, 653
418, 846
419, 776
420, 1402
421, 862
422, 558
423, 801
424, 628
425, 861
426, 784
427, 529
428, 831
429, 678
430, 1266
431, 501
433, 512
434, 798
435, 1481
436, 422
437, 1135
438, 481
439, 880
440, 655
441, 834
442, 705
443, 842
444, 380
445, 1317
446, 585
447, 1027
448, 661
449, 522
450, 793
451, 487
452, 549
453, 2852
454, 588
455, 307
456, 401
457, 1199
458, 1277
459, 815
460, 1083
462, 385
463, 644
464, 1008
465, 638
466, 2914
467, 898
468, 938
469, 1037
470, 751
471, 800
472, 1093
473, 1310
474, 840
475, 1458
476, 519
477, 553
478, 540
479, 365
480, 479
481, 746
482, 617
483, 675
484, 1364
485, 314
486, 620
487, 750
488, 454
489, 875
490, 633
491, 1404
492, 966
493, 927
494, 581
495, 523
496, 976
497, 872
498, 874
499, 506
500, 667
501, 762
502, 1089
503, 781
504, 984
505, 1104
506, 396
507, 1276
508, 1610
509, 870
510, 973
511, 1837
512, 1108
513, 565
514, 1607
515, 1017
516, 639
517, 714
518, 1638
519, 704
520, 1017
521, 912
522, 955
523, 681
524, 326
525, 612
526, 577
527, 461
528, 620
529, 245
530, 267
531, 1143
532, 442
533, 753
534, 464
535, 893
536, 1345
537, 1166
538, 1196
539, 665
540, 578
541, 810
542, 2023
543, 658
544, 1563
545, 1242
546, 605
547, 1015
548, 419
549, 622
550, 1092
551, 614
552, 702
553, 952
554, 1221
555, 525
556, 527
557, 699
558, 1485
559, 643
560, 492
561, 1209
562, 610
563, 1145
564, 1316
565, 501
566, 961
567, 857
568, 558
569, 427
570, 1593
571, 945
572, 928
573, 388
574, 2409
575, 651
576, 1151
577, 1100
578, 578
579, 986
580, 807
581, 320
582, 1057
583, 648
584, 538
585, 556
586, 369
587, 512
588, 763
589, 838
590, 435
591, 757
592, 1774
593, 695
594, 1333
595, 948
596, 1219
597, 1767
598, 465
599, 1059
601, 946
602, 2248
603, 1461
604, 2294
605, 369
606, 1427
607, 727
608, 759
609, 1090
610, 1122
611, 657
612, 1380
613, 592
614, 774
615, 716
616, 1305
617, 1041
618, 544
619, 616
620, 584
621, 899
622, 1967
623, 1416
624, 1398
625, 1048
626, 549
627, 392
628, 983
629, 2949
630, 943
632, 914
633, 1446
634, 666
635, 902
636, 586
637, 594
638, 2925
639, 980
640, 679
642, 720
643, 7458
644, 1746
645, 2239
646, 762
647, 710
648, 796
649, 862
650, 516
651, 345
653, 585
654, 2025
655, 723
656, 753
657, 840
658, 1007
659, 797
660, 867
661, 1396
662, 1187
663, 751
664, 1013
665, 419
666, 1699
667, 1029
669, 545
670, 1156
671, 681
672, 2685
673, 1059
674, 1006
675, 509
676, 600
677, 344
678, 653
679, 547
680, 845
681, 426
682, 931
683, 982
684, 1547
685, 961
686, 629
687, 2001
688, 952
689, 859
690, 709
691, 1837
692, 586
693, 1028
694, 2255
696, 1303
697, 645
698, 1289
699, 763
700, 960
701, 1122
702, 961
703, 577
704, 754
705, 716
706, 958
707, 337
708, 709
709, 321
710, 852
711, 657
713, 531
714, 1579
715, 1370
716, 925
717, 1400
718, 424
719, 1296
720, 2673
721, 901
722, 1165
723, 1458
724, 625
725, 682
726, 1437
727, 601
728, 726
729, 507
730, 495
731, 963
732, 247
733, 870
734, 825
735, 1057
736, 7420
737, 561
738, 1618
739, 1589
740, 1299
741, 1424
742, 583
743, 1274
744, 1990
745, 523
746, 1317
747, 1111
748, 3860
749, 401
750, 591
751, 594
752, 1215
753, 748
754, 916
755, 876
756, 745
757, 510
758, 1364
759, 1015
760, 1251
762, 308
763, 1203
764, 766
765, 303
766, 445
767, 875
768, 607
769, 1006
770, 850
771, 728
772, 2591
774, 624
775, 751
776, 1117
777, 1272
778, 532
779, 464
780, 778
781, 1031
782, 1008
783, 1896
784, 1344
785, 784
786, 577
787, 934
788, 353
789, 579
790, 676
791, 359
792, 695
793, 1037
794, 546
795, 591
796, 1680
797, 633
798, 833
799, 834
800, 1299
801, 793
802, 729
803, 557
804, 1455
805, 588
806, 740
807, 829
808, 872
809, 479
810, 611
811, 1868
812, 669
813, 861
814, 798
815, 240
816, 812
817, 875
818, 1435
819, 1510
